82.102.18.222 - - [13/Apr/2025:03:07:58 +0600] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 308 49 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:58 +0600] "GET //website/wp-includes/wlwmanifest.xml HTTP/1.1" 308 47 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:58 +0600] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.1" 308 42 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:58 +0600] "GET //news/wp-includes/wlwmanifest.xml HTTP/1.1" 308 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:58 +0600] "GET //2018/wp-includes/wlwmanifest.xml HTTP/1.1" 308 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.1" 308 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.1" 308 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 308 43 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.1" 308 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //media/wp-includes/wlwmanifest.xml HTTP/1.1" 308 45 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 308 43 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
